DEMANDANTE,Nome da Proposta/Iniciativa Estruturante,Unidade de Conservação,Observações,VALOR TOTAL ALOCADO,Valor da Iniciativa (R$),Valor Total da Iniciativa,SALDO,Nº SEI,AÇÃO DE APLICAÇÃO,CATEGORIA UC,CNUC,GR,BIOMA,UF
 - ,Elaboração e revisão de plano de manejo,REVIS DO RIO DOS FRADES,,400000.0,400000.0,400000.0,0.0,16081613.0,Plano de Manejo,REVIS,0000.00.1813,GR2 - Nordeste,Área Marinha - Mata Atlântica,BA
DIBIO,Programa Monitora,RESEX CHOCOARÉ-MATO GROSSO,Operação - (Projeto: ARPA) - Valores indicados a partir da referência de valores aportados nas UCs pelo Programa ARPA para o biênio 24/25 no marco referencial Monitoramento da Biodiversidade.,120000.0,120000.0,120000.0,0.0,16093982.0,Implementação da UC,RESEX,0000.00.0223,GR1 - Norte,Amazônia,PA
DIBIO,Programa Monitora,RESEX MAE GRANDE DE CURUÇA,Operação - (Projeto: ARPA) - Valores indicados a partir da referência de valores aportados nas UCs pelo Programa ARPA para o biênio 24/25 no marco referencial Monitoramento da Biodiversidade.,120000.0,120000.0,120000.0,0.0,16093982.0,Implementação da UC,RESEX,0000.00.0243,GR1 - Norte,Amazônia - Área Marinha,PA
DIBIO,Programa Monitora,RESEX MARACANÃ,Operação - (Projeto: ARPA) - Valores indicados a partir da referência de valores aportados nas UCs pelo Programa ARPA para o biênio 24/25 no marco referencial Monitoramento da Biodiversidade.,120000.0,120000.0,120000.0,0.0,16093982.0,Implementação da UC,RESEX,0000.00.0227,GR1 - Norte,Amazônia - Área Marinha,PA
DIBIO,Programa Monitora,RESEX MARINHA CAETÉTAPERAÇU,"Operação. Valores estipulados a partir do histórico de execução financeira de recursos do orçamento com a aplicação dos protocolos de monitoramento na UC e considerando o aporte mínimo de R$100.000,00 por UC.",100000.0,100000.0,100000.0,0.0,16093982.0,Implementação da UC,RESEX,0000.00.0248,GR1 - Norte,Amazônia - Área Marinha,PA
DIBIO,Programa Monitora,RESEX MARINHA DA BAIA DE IGUAPÉ,"Operação. Valores estipulados a partir do histórico de execução financeira de recursos do orçamento com a aplicação dos protocolos de monitoramento na UC e considerando o aporte mínimo de R$100.000,00 por UC.",100000.0,100000.0,100000.0,0.0,16093982.0,Implementação da UC,RESEX,0000.00.0245,GR2 - Nordeste,Mata Atlântica,BA
DIBIO,Programa Monitora,RESEX MARINHA MESTRE LUCINDO,Operação - (Projeto: ARPA) - Valores indicados a partir da referência de valores aportados nas UCs pelo Programa ARPA para o biênio 24/25 no marco referencial Monitoramento da Biodiversidade.,120000.0,120000.0,120000.0,0.0,16093982.0,Implementação da UC,RESEX,0000.00.3133,GR1 - Norte,Amazônia - Área Marinha,PA
DIBIO,Programa Monitora,RESEX DO RIO UNINI,Operação - (Projeto: ARPA) - Valores indicados a partir da referência de valores aportados nas UCs pelo Programa ARPA para o biênio 24/25 no marco referencial Monitoramento da Biodiversidade.,130000.0,130000.0,130000.0,0.0,16093982.0,Implementação da UC,RESEX,0000.00.0283,GR1 - Norte,Amazônia,AM
DIBIO,Programa Monitora,REVIS VEREDAS DO OESTE BAIANO,"Operação. Valores estipulados a partir do histórico de execução financeira de recursos do orçamento com a aplicação dos protocolos de monitoramento na UC e considerando o aporte mínimo de R$100.000,00 por UC.",100000.0,100000.0,100000.0,0.0,16093982.0,Implementação da UC,REVIS,0000.00.0219,GR3 - Centro-Oeste,Cerrado,BA
DIBIO,Programa Monitora,PARNA DA AMAZÔNIA,Operação - (Projeto: ARPA) - Valores indicados a partir da referência de valores aportados nas UCs pelo Programa ARPA para o biênio 24/25 no marco referencial Monitoramento da Biodiversidade.,400000.0,400000.0,400000.0,0.0,16093982.0,Implementação da UC,PARNA,0000.00.0136,GR1 - Norte,Amazônia,AM/PA
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,ESEC DE MURICI,"Regularização Fundiária 
PAN Aves da Mata Atlântica (2º ciclo) - 1.1. Ressaltar a importância da implementação da ESEC Murici/AL, priorizando a regularização fundiária. 
A regularização Fundiária da ESEC Murici é a primeira ação do PAN Aves da Mata Atlântica e é extremamente importante para se ampliar a implementação da UC. 
A expectativa de valor foi o informado na planilha de Compensação ambiental. ",613581.8,613581.8,613581.8,0.0,,Implementação da UC,ESEC,0000.00.0059,GR2 - Nordeste,Mata Atlântica,AL
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,PARNA DA LAGOA DO PEIXE,"Implementação da UC
PAN Aves dos Campos Sulinos (2º ciclo) - 3.9. Apresentar ao Parque Nacional da Lagoa do Peixe um plano de ordenamento para o turismo de observação de aves na região 
Essa ação propõe disponibilizar documento técnico (Plano) para a UC como forma de subsidiar o ordenamento da observação de aves no Parque Nacional da Lagoa do Peixe e região
valor estimado (planilha sem valor)",720083.5464480873,100000.0,100000.0,0.0,,Implementação da UC,PARNA,0000.00.0140,GR5 - Sul,Área Marinha - Pampa,RS
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,PARNA DAS ARAUCÁRIAS,"Implementação da UC
PAN Aves dos Campos Sulinos (2º ciclo) - 3.11. Apresentar ao Parque Nacional das Araucárias um plano de ordenamento para o turismo de observação de aves na região
Essa ação propõe disponibilizar documento técnico (Plano) para a UC como forma de subsidiar o ordenamento da observação de aves no Parque Nacional das Araucárias e região. 
valor estimado (planilha sem valor)",0.0,100000.0,100000.0,100000.0,,Implementação da UC,PARNA,0000.00.0262,GR5 - Sul,Mata Atlântica,SC
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,PARNA DO BOQUEIRÃO DA ONÇA,"Implementação da UC
PAN Aves da Caatinga (2º ciclo) - 3.5. Realizar soltura e monitoramento continuado de Anodorhynchus leari no Boqueirão da Onça para fins de revigoramento populacional.
O Valor estimado para essa ação é de R$ 1.000.000,00, no entanto, é possível iniciar a ação com o recurso de compensação disponível. ",88000.0,88000.0,88000.0,0.0,,Implementação da UC,PARNA,0000.00.3652,GR2 - Nordeste,Caatinga,BA
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,PARNA DO PANTANAL MATOGROSSENSE,"Implementação da UC
PAN Aves do Cerrado e Pantanla (2º ciclo) 4.11. Implementar o Plano de Manejo Integrado do Fogo - PMIF, especialmente em UCs do Pantanal. (Plano de Manejo Integrado do Fogo - PMIF implementado na RPPN SESC Pantanal e no PARNA Pantanal, Seminário sobre manejo do fogo realizado na RPPN SESC Pantanal.)
valor estimado (planilha sem valor)",1000000.0,1000000.0,1000000.0,0.0,,Implementação da UC,PARNA,0000.00.0175,GR3 - Centro-Oeste,Pantanal,MT/MS
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,RVS DA ARARINHA AZUL,"Implementação da UC
PAN Ararinha-azul (2º ciclo) - 4.8. Assegurar que a conversão de multas contemple as necessidades da ararinha-azul, gerando benefícios para a conservação da espécie e seu habitat; PAN Aves da Caatinga (2º ciclo) 2.8 . Articular o direcionamento de recursos de compensação para ações que apoiem a implementação de UCs na Caatinga, por meio do lançamento de editais e/ou licitações. Espera-se com essas ações, que as UCs na área da Ararinha-azul sejam implementadas.",0.0,150000.0,150000.0,150000.0,,Implementação da UC,REVIS,0000.00.3694,GR2 - Nordeste,Caatinga,BA
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,RVS DA ARARINHA AZUL,"Regulamentação Fundiária
PAN Ararinha-azul (2º ciclo) - 4.9. Destinar recursos de compensação ambiental para regularização fundiária das fazendas prioritárias para tornar a dominiliadade pública no RVS da Ararinha Azul
",0.0,691155.47,691155.47,691155.47,,Implementação da UC,REVIS,0000.00.3694,GR2 - Nordeste,Caatinga,BA
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,ESEC DO TAIM,"Implementação da UC 
PAN Lagoas do Sul  - 3.4. Implementar Unidades Demonstrativas em integração lavoura-pecuária e campo nativo para recuperação de pastagens, redução da erosão, redução do uso de agrotóxicos, racionalização dos insumos e melhoria do retorno financeiro nas áreas de pecuária na zona de amortecimento e região da ESEC Taim. Valor- R$ 90000",515642.4352173913,90000.0,90000.0,0.0,,Implementação da UC,ESEC,0000.00.0070,GR5 - Sul,Área Marinha - Pampa,RS
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,APA ANHATOMIRIM,"Implementação da UC
 PAN Cetáceos Marinhos - 6.2 Avaliar o risco de colisão de embarcações de turismo e lazer com cetáceos marinhos . O produto -Diagnóstico e diretrizes para o monitoramento do impacto das colisões pode compor o Plano de Manejo da UC. Valor Estimado Total- R$ 300000. A UC pode destinar parte do valor disponível para auxiliar este diagnóstico.",0.0,20000.0,20000.0,20000.0,,Implementação da UC,APA,0000.00.0001,GR5 - Sul,Área Marinha - Mata Atlântica,SC
DIBIO,Planos de Ação Nacional para Conservação de Espécies Ameaçadas de Extinção - PAN ,PARNA DA LAGOA DO PEIXE,"Implementação da UC 
 PAN Aves Limícolas Migratórias - 2º ciclo: 2.6, Subsidiar tecnicamente a revisão do plano de manejo do Parque Nacional da Lagoa do Peixe em relação ao manejo de habitat para espécies alvo do PAN.  
2.2, Subsidiar tecnicamente a elaboração dos planos de ordenamento das atividades turísticas nas áreas estratégicas do PAN 
2.6, Subsidiar tecnicamente a revisão do plano de manejo do Parque Nacional da Lagoa do Peixe em relação ao manejo de habitat para espécies alvo do PAN. Valor das 3 ações: R$ 24.000,00                                                                                                               PAN Lagoas do Sul: 2.24, Promover a articulação e formação dos pescadores artesanais no litoral de Santa Catarina e Rio Grande do Sul, via componente 1.4/ GEF Mar. 
3.5, Implementar Unidade Demonstrativa de manejo sustentável da pecuária na zona de amortecimemento e entorno do PARNA Lagoa do Peixe. 
4.14, Apoiar estudos e ações visando a erradicação de Pinus spp. em áreas invadidas no Parque Nacional da Lagoa do Peixe  e a recuperação das áreas degradadas.  Valor R$ 125.000,00",1072924.4842076502,149000.0,149000.0,0.0,,Implementação da UC,PARNA,0000.00.0140,GR5 - Sul,Área Marinha - Pampa,RS
